target,driver,lag,cross_ami,cross_pami,transfer_entropy,gcmi,pcmci_link,pcmci_ami_parent,significance,rank,interpretation_tag,lagged_exog_conditioning
target,driver_nonlin_sq,5,0.02809098453709069,0.0,0.0,0.00028797667835868477,,False,below_band,22,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_noise,2,0.027436493142449336,0.0,0.0,0.0048891388295631095,,False,above_band,23,probably_mediated,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_contemp,2,0.018239860297875943,0.002613855202405091,0.004530733999606795,0.02320075342385434,,False,below_band,24,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_nonlin_sq,4,0.015479065043477291,0.008736230050106819,0.005691730665896344,0.00036432904390183956,,False,below_band,25,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_contemp,1,0.015235831458449312,0.015235831458449312,0.015235831458449312,0.02694165632725269,,False,below_band,26,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_noise,3,0.01435563550287089,0.008148137881510031,0.0,0.00558277779500505,,False,below_band,27,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_contemp,5,0.011402176310588708,0.0,0.0,0.009854941326650938,,False,below_band,28,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_nonlin_abs,1,0.007650870691645828,0.007650870691645828,0.007650870691645828,0.0005364732826693923,,False,below_band,29,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_noise,5,0.007112899885215462,0.008008914139772116,0.0010539822777069219,0.004870504331193927,,False,below_band,30,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_noise,4,0.0,0.0,0.0,0.0052794866953990525,,False,below_band,31,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_nonlin_abs,2,0.0,0.0,0.0,0.00034224215045931805,,False,below_band,32,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_nonlin_abs,3,0.0,0.014277172774289859,0.018647360651964817,0.000116288570895444,,False,below_band,33,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_nonlin_abs,4,0.0,0.009028170223212229,0.005058223103934445,5.5334045564062285e-05,,False,below_band,34,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
target,driver_nonlin_abs,5,0.0,0.0,0.0,0.00013389761520574391,,False,below_band,35,noise_or_weak,"{'cross_ami': 'none', 'cross_pami': 'target_only', 'transfer_entropy': 'target_only', 'gcmi': 'none', 'pcmci': 'full_mci', 'pcmci_ami': 'full_mci'}"
