target_name,horizon,ami_corrected,tau,accepted,valid
henon_map,1,2.681054341543829,0.02733090688780297,True,True
henon_map,2,2.4431484145343223,0.03478293300985324,True,True
henon_map,3,2.070278824458413,0.03362373606471349,True,True
henon_map,4,2.0912718742818974,0.038223138979993986,True,True
henon_map,5,1.7278488086820702,0.037297315396049587,True,True
henon_map,6,1.630693914335447,0.036652412534797285,True,True
henon_map,7,1.4509634817244796,0.03483009858469479,True,True
henon_map,8,1.410590757893052,0.03209128049635552,True,True
henon_map,9,1.0856131333253658,0.03221241981529479,True,True
henon_map,10,1.103347102667026,0.030220972540882938,True,True
henon_map,11,0.8633332790161283,0.03474761723170435,True,True
henon_map,12,0.8751720692700315,0.04208673965822927,True,True
henon_map,13,0.5225301064866745,0.03755682500844378,True,True
henon_map,14,0.48235590900080805,0.042282037112129675,True,True
henon_map,15,0.27513102392076577,0.043880244173078495,True,True
henon_map,16,0.29292884831064925,0.044133553337380865,True,True
henon_map,17,0.23784704739741572,0.03790149469312931,True,True
henon_map,18,0.2596144090722317,0.03402275367668714,True,True
