target_name,horizon,ami_corrected,tau,accepted,valid
ar1,1,0.6045005145841507,0.044167257204609366,True,True
ar1,2,0.32718467046938904,0.04038152293594059,True,True
ar1,3,0.1970852821276716,0.03734381539160889,True,True
ar1,4,0.13595146319641405,0.040632505072578595,True,True
ar1,5,0.07016745246778482,0.03547582042421337,False,True
ar1,6,0.0674930873219635,0.03331902685071463,False,True
ar1,7,0.0801547909868561,0.04356266129194379,False,True
ar1,8,0.06241773299638325,0.03276188327898088,False,True
ar1,9,0.03025491853551765,0.03540973845480497,False,True
ar1,10,0.06609582554652114,0.03588297464607794,False,True
ar1,11,0.07568667939482883,0.03705215841008762,False,True
ar1,12,0.054837888610034934,0.03851264506027654,False,True
ar1,13,0.03362510542696637,0.036778302813478714,False,True
ar1,14,0.04955682420623941,0.04156881758092101,False,True
ar1,15,0.04151454100702717,0.03920218232526337,False,True
ar1,16,0.0035437068252222393,0.03895254358384887,False,True
ar1,17,0.0,0.03838918890157714,False,True
ar1,18,0.08000030110626395,0.03377987342862081,False,True
