target_name,horizon,ami_corrected,tau,accepted,valid
clean_sine_wave,1,2.467995230764415,0.034193941500258604,True,True
clean_sine_wave,2,2.4339650352317244,0.0325742639389559,True,True
clean_sine_wave,3,2.358024974634922,0.03724565367126259,True,True
clean_sine_wave,4,2.428555114940937,0.034888003579851556,True,True
clean_sine_wave,5,2.4609169411282674,0.03608433147456196,True,True
clean_sine_wave,6,3.954002401384289,0.042009483370266575,True,True
clean_sine_wave,7,2.464694612679343,0.035497978427118056,True,True
clean_sine_wave,8,2.43632878405771,0.02843091321774169,True,True
clean_sine_wave,9,2.3599477772747175,0.034836665620838134,True,True
clean_sine_wave,10,2.4348030285908817,0.03407983856181991,True,True
clean_sine_wave,11,2.4624098899139146,0.038052371227061774,True,True
clean_sine_wave,12,3.449309180939247,0.045392128361172804,True,True
clean_sine_wave,13,2.462467309374341,0.039251383262052374,True,True
clean_sine_wave,14,2.4296101105100134,0.03534981943074075,True,True
clean_sine_wave,15,2.3550198665374054,0.03228803916708038,True,True
clean_sine_wave,16,2.415461701385652,0.04010963865077135,True,True
clean_sine_wave,17,2.4499545239904252,0.04003905972419668,True,True
clean_sine_wave,18,3.17609268984834,0.03834985194199314,True,True
