target_name,generator,period,signal_to_noise,information_horizon,information_structure,spectral_predictability,spectral_concentration,ordinal_redundancy,trend_strength,seasonal_strength,dfa_alpha,signal_strength,predictability_sources,recommended_model_families
white_noise,generate_white_noise,,0.218772,0,none,0.080386,0.024001,0.004678,0.001518,,0.498818,low,-,"naive, seasonal_naive, downscope"
seasonal_plus_noise,generate_additive_seasonal_plus_noise,12.0,0.783116,18,periodic,0.47005,0.446367,0.006228,0.002848,0.691141,0.523539,high,"lag_dependence, seasonality","arima, ets, linear_state_space, seasonal_naive, harmonic_regression, tbats, seasonal_state_space"
long_memory_candidate,generate_long_memory_archetype + normalized_moving_average_blend,,0.565881,4,monotonic,0.143257,0.054153,0.008649,0.00812,,0.942236,high,"lag_dependence, long_memory","arima, ets, linear_state_space, long_window_ar, fractional_differencing_candidate"
henon_map,generate_henon_map + lag_product_measurement,,0.969592,18,monotonic,0.196467,0.056545,0.404123,0.000309,,0.216105,high,"lag_dependence, ordinal_redundancy","arima, ets, linear_state_space, tree_on_lags, nonlinear_tabular, tcn"
