target_name,horizon,ami_corrected,tau,accepted,valid
seasonal_plus_noise,1,0.19839072899298782,0.039501997129352054,True,True
seasonal_plus_noise,2,0.08162847376553062,0.041368004922983995,False,True
seasonal_plus_noise,3,0.0,0.032501969318284016,False,True
seasonal_plus_noise,4,0.043879354999889236,0.043389221228520555,False,True
seasonal_plus_noise,5,0.2298011847404912,0.038255732050998054,True,True
seasonal_plus_noise,6,0.35697578166209776,0.04160271493523435,True,True
seasonal_plus_noise,7,0.19175077221537656,0.04552071626000637,True,True
seasonal_plus_noise,8,0.11408574281512968,0.035633790346111825,True,True
seasonal_plus_noise,9,0.00733572593343069,0.03387351345003537,False,True
seasonal_plus_noise,10,0.08679281578960578,0.04190246159647879,False,True
seasonal_plus_noise,11,0.23301370299765506,0.038075113726686725,True,True
seasonal_plus_noise,12,0.2897394019479126,0.028492035291367644,True,True
seasonal_plus_noise,13,0.22072720501977647,0.034954827680759144,True,True
seasonal_plus_noise,14,0.025620791970596222,0.03561817276461161,False,True
seasonal_plus_noise,15,0.04944020466299091,0.034917910938300524,False,True
seasonal_plus_noise,16,0.10219136272211324,0.040566714804385284,False,True
seasonal_plus_noise,17,0.21770692320391957,0.035045038273811,True,True
seasonal_plus_noise,18,0.3477004934805956,0.034394320525269514,True,True
