target_name,horizon,ami_corrected,tau,accepted,valid
white_noise,1,0.0,0.03740920150999694,False,True
white_noise,2,0.08822608927006813,0.03394977137660486,False,True
white_noise,3,0.011380767631205492,0.03955966497088026,False,True
white_noise,4,0.0,0.04736723748077187,False,True
white_noise,5,0.014490430471007091,0.03388428489622174,False,True
white_noise,6,0.0,0.03866472563476985,False,True
white_noise,7,0.0,0.045111116202182173,False,True
white_noise,8,0.024886549946880398,0.03538240062583151,False,True
white_noise,9,0.037221966753518874,0.040175343195943285,False,True
white_noise,10,0.009670770474835244,0.04447218564075647,False,True
white_noise,11,0.0,0.035788602046590595,False,True
white_noise,12,0.04746998266940933,0.034620727191789415,False,True
white_noise,13,0.0,0.039114490824335664,False,True
white_noise,14,0.028320716477611058,0.038571365038547786,False,True
white_noise,15,0.011997530916063509,0.037744843789852836,False,True
white_noise,16,0.0,0.04274958295886168,False,True
white_noise,17,0.0,0.040610204308771616,False,True
white_noise,18,0.03316463426589244,0.037378568954706634,False,True
