series_id,n_train,blocked,forecastability_class,recommended_families,triage_model,smape_triage,smape_naive,triage_wins,error
M11874,84,False,high,none,SeasonalNaive,2.812588731174058,2.812588731174058,False,
M1273,84,False,high,none,SeasonalNaive,8.726573168700384,8.726573168700384,False,
M12905,288,False,high,none,SeasonalNaive,4.620714485986453,4.620714485986453,False,
M13268,288,False,high,none,SeasonalNaive,1.674697752279862,1.674697752279862,False,
M13678,52,True,,none,SeasonalNaive,13.154541059840424,13.154541059840424,False,
M13819,405,False,high,none,SeasonalNaive,5.867593468780298,5.867593468780298,False,
M13945,275,False,high,none,SeasonalNaive,10.988554727529802,10.988554727529802,False,
M14030,274,False,high,none,SeasonalNaive,29.88444544660246,29.88444544660246,False,
M14174,484,False,high,none,SeasonalNaive,2.1041294099876997,2.1041294099876997,False,
M15496,212,False,high,none,SeasonalNaive,7.828098167813602,7.828098167813602,False,
M1558,288,False,high,none,SeasonalNaive,1.9147192879605492,1.9147192879605492,False,
M16003,299,False,high,none,SeasonalNaive,16.352494757357398,16.352494757357398,False,
M16620,51,True,,none,SeasonalNaive,14.522499665772997,14.522499665772997,False,
M1690,288,False,high,none,SeasonalNaive,1.9938865883568497,1.9938865883568497,False,
M17088,2176,False,high,none,SeasonalNaive,1.8390072954361514,1.8390072954361514,False,
M17827,51,True,,none,SeasonalNaive,23.20126601029632,23.20126601029632,False,
M18130,51,True,,none,SeasonalNaive,17.45896070240987,17.45896070240987,False,
M18349,51,True,,none,SeasonalNaive,20.85309148255924,20.85309148255924,False,
M18634,61,True,,none,SeasonalNaive,28.422253152748013,28.422253152748013,False,
M19736,51,True,,none,SeasonalNaive,32.56197849749687,32.56197849749687,False,
M19740,51,True,,none,SeasonalNaive,20.413110162975638,20.413110162975638,False,
M20280,51,True,,none,SeasonalNaive,23.212561832418174,23.212561832418174,False,
M21862,264,False,high,none,SeasonalNaive,0.9483676167248439,0.9483676167248439,False,
M22372,288,False,high,none,SeasonalNaive,1.6824270008118516,1.6824270008118516,False,
M2340,288,False,high,none,SeasonalNaive,4.7050303790691546,4.7050303790691546,False,
M23970,414,False,high,none,SeasonalNaive,4.693754880124176,4.693754880124176,False,
