variant,driver_count,lag_feature_count,negative_driver_hits,negative_driver_hit_count,negative_driver_importance,single_origin_mae,single_origin_rmse,single_origin_nse,single_origin_naive_mae,single_origin_skill_pct,walk_forward_origin_count,walk_forward_mae,walk_forward_naive_mae,walk_forward_skill_pct
fast_raw,7,12,"station_67, station_71, station_99",3,1041,16.638924097916508,18.950040549044733,-0.753522858881684,24.72935049019608,32.715887121608844,9,2.457229771913554,7.286377314814814,66.27638583967558
scientific_raw,7,12,"station_67, station_71, station_99",3,936,14.844607773477108,16.88201320260745,-0.39168073595406216,24.72935049019608,39.97170374789166,9,2.4712203921185503,7.286377314814814,66.08437519295065
scientific_drop_known_negatives,4,7,,0,0,13.399802239544385,15.469979541568524,-0.16861275783627327,24.72935049019608,45.81417637775517,9,3.16919610029198,7.286377314814814,56.505188197593
notebook_07_reference_legal_window,4,5,,0,0,12.819156969583556,14.600791391043582,-0.04098371744428175,24.72935049019608,48.16217686483236,9,2.7417256160564487,7.286377314814814,62.3718962442157
