feature_name,fast_mode,scientific_catt_mode
x_station_1095_lag4,1,1
x_station_1095_lag5,1,0
x_station_313_lag4,1,1
x_station_490_lag4,1,1
x_station_67_lag4,1,0
x_station_67_lag5,0,1
x_station_71_lag4,0,1
x_station_71_lag5,1,0
x_station_71_lag6,0,1
x_station_71_lag8,1,1
x_station_758_lag12,0,1
x_station_758_lag4,1,1
x_station_758_lag5,1,1
x_station_758_lag7,1,0
x_station_758_lag8,0,1
x_station_99_lag11,1,1
x_station_99_lag12,1,0
